"id;""timestamp"";""nsfrac"";""the_geom"";""longitude"";""latitude"";""height"";""amplitude"";""lsum"";""type"";""stationmax"";""station1"";""station2"";""station3"";""station4"";""station5"";""station6"";""station7"";""station8"";""qres"";""flash_id"";""cell_id"""
"1149656;""2018-07-20 18:04:29.944279+00"";""6"";""0101000020E6100000000000E0F9B65440000000E0B71F3640"";""82.859"";""22.1239"";""0"";""-64.2"";""3.123"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663540"";"""""
"1149657;""2018-07-20 18:04:30.848237+00"";""2"";""0101000020E610000000000080481F5540000000A03AB13740"";""84.4888"";""23.6923"";""0"";""-16"";""2.118"";""1"";""5"";""3"";""4"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663541"";"""""
"1149658;""2018-07-20 18:04:31.230849+00"";""0"";""0101000020E61000000000004067B8544000000040922B3640"";""82.8813"";""22.1702"";""0"";""-17.7"";""2.804"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663542"";"""""
"1149659;""2018-07-20 18:04:31.652571+00"";""3"";""0101000020E6100000000000E014015540000000C020103840"";""84.0169"";""24.063"";""0"";""-20.5"";""1.624"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663543"";"""""
"1149660;""2018-07-20 18:04:31.781827+00"";""9"";""0101000020E6100000000000802403554000000000641C3840"";""84.0491"";""24.1109"";""0"";""-14.2"";""1.571"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663543"";"""""
"1149661;""2018-07-20 18:04:31.918092+00"";""1"";""0101000020E6100000000000A0AD04554000000060BC143840"";""84.0731"";""24.081"";""0"";""-14.4"";""1.624"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663543"";"""""
"1149662;""2018-07-20 18:04:32.078364+00"";""5"";""0101000020E6100000000000605FB75440000000E01D373640"";""82.8652"";""22.2153"";""0"";""-51.3"";""3.008"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663544"";"""""
"1149663;""2018-07-20 18:04:33.023564+00"";""3"";""0101000020E6100000000000200FBB54400000008051393640"";""82.9228"";""22.2239"";""0"";""-73.3"";""2.857"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663545"";"""""
"1149664;""2018-07-20 18:04:33.951297+00"";""5"";""0101000020E610000000000080C900554000000000DCF73740"";""84.0123"";""23.9682"";""0"";""-29.7"";""2.112"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663546"";"""""
"1149665;""2018-07-20 18:04:34.913019+00"";""1"";""0101000020E6100000000000A00FBA54400000006054323640"";""82.9072"";""22.1966"";""0"";""-54.2"";""2.831"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663547"";"""""
"1149667;""2018-07-20 18:04:36.187218+00"";""1"";""0101000020E6100000000000E01DB754400000000093593640"";""82.8612"";""22.3499"";""0"";""26.9"";""3.104"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663549"";"""""
"1149668;""2018-07-20 18:04:37.041575+00"";""0"";""0101000020E6100000000000005FB85440000000A06E323640"";""82.8808"";""22.197"";""0"";""-26.6"";""2.815"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663550"";"""""
"1149669;""2018-07-20 18:04:37.85326+00"";""5"";""0101000020E61000000000008016B5544000000020A0093640"";""82.8295"";""22.0376"";""0"";""-33.9"";""2.911"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663551"";"""""
"1149670;""2018-07-20 18:04:37.891324+00"";""3"";""0101000020E6100000000000E026B55440000000C0150B3640"";""82.8305"";""22.0433"";""0"";""-24.8"";""4.456"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663551"";"""""
"1149671;""2018-07-20 18:04:38.072137+00"";""0"";""0101000020E61000000000008063B55440000000A0FA0C3640"";""82.8342"";""22.0507"";""0"";""-37.9"";""2.933"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663551"";"""""
"1149672;""2018-07-20 18:04:38.830247+00"";""4"";""0101000020E610000000000020D4B65440000000A0B6423640"";""82.8567"";""22.2606"";""0"";""-82.2"";""2.851"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663552"";"""""
"1149673;""2018-07-20 18:04:38.938826+00"";""9"";""0101000020E6100000000000E09EB8544000000040A2343640"";""82.8847"";""22.2056"";""0"";""-84.8"";""3.024"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663552"";"""""
"1149674;""2018-07-20 18:04:39.455731+00"";""8"";""0101000020E6100000000000806CB75440000000E0CE173640"";""82.866"";""22.093"";""0"";""-64.3"";""3.171"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663553"";"""""
"1149675;""2018-07-20 18:04:42.835908+00"";""7"";""0101000020E61000000000004023165540000000C0BAC83740"";""84.3459"";""23.7841"";""0"";""-32"";""2.198"";""1"";""5"";""3"";""4"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663554"";"""""
"1149676;""2018-07-20 18:04:42.986288+00"";""8"";""0101000020E6100000000000C0A8A85440000000C0EA833640"";""82.6353"";""22.5153"";""0"";""-21.2"";""2.746"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663555"";"""""
"1149678;""2018-07-20 18:04:43.829562+00"";""4"";""0101000020E610000000000040F3B65440000000E0F21F3640"";""82.8586"";""22.1248"";""0"";""-59.5"";""2.821"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663556"";"""""
"1149680;""2018-07-20 18:04:44.554335+00"";""5"";""0101000020E6100000000000208CBA54400000000012243640"";""82.9148"";""22.1409"";""0"";""25"";""3.292"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663557"";"""""
"1149679;""2018-07-20 18:04:44.527606+00"";""8"";""0101000020E6100000000000A087FD5440000000A077DC3740"";""83.9614"";""23.8612"";""0"";""-31.1"";""2.251"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663558"";"""""
"1149681;""2018-07-20 18:04:44.690113+00"";""8"";""0101000020E61000000000004089FD5440000000E022DB3740"";""83.9615"";""23.856"";""0"";""-24.7"";""1.81"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663558"";"""""
"1149682;""2018-07-20 18:04:46.33901+00"";""3"";""0101000020E6100000000000C039BB544000000060FC383640"";""82.9254"";""22.2226"";""0"";""-72.1"";""2.658"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663559"";"""""
"1149683;""2018-07-20 18:04:46.592968+00"";""8"";""0101000020E6100000000000A018BC5440000000A067333640"";""82.939"";""22.2008"";""0"";""-44.2"";""2.9"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663559"";"""""
"1149684;""2018-07-20 18:04:47.301398+00"";""3"";""0101000020E610000000000000FEE05440000000A018C43A40"";""83.5155"";""26.766"";""0"";""12.6"";""0.621"";""1"";""5"";""4"";""6"";""8"";""9"";""3"";""0"";""0"";""0"";""0"";""663560"";"""""
"1149685;""2018-07-20 18:04:47.390473+00"";""7"";""0101000020E6100000000000E004FC5440000000C088D23740"";""83.9378"";""23.8224"";""0"";""14.7"";""1.603"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663561"";"""""
"1149686;""2018-07-20 18:04:47.424045+00"";""6"";""0101000020E61000000000006034B85440000000C072183640"";""82.8782"";""22.0955"";""0"";""-64.4"";""3.06"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663562"";"""""
"1149687;""2018-07-20 18:04:47.504806+00"";""5"";""0101000020E6100000000000207CB95440000000A0D4493640"";""82.8982"";""22.2884"";""0"";""-25.9"";""3.01"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663563"";"""""
"1149688;""2018-07-20 18:04:47.633463+00"";""8"";""0101000020E6100000000000606DB95440000000202F4D3640"";""82.8973"";""22.3015"";""0"";""-21.8"";""3.887"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663563"";"""""
"1149690;""2018-07-20 18:04:48.469804+00"";""5"";""0101000020E61000000000000086B9544000000080C04A3640"";""82.8988"";""22.292"";""0"";""-18.5"";""4.114"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663564"";"""""
"1149691;""2018-07-20 18:05:50.691664+00"";""2"";""0101000020E6100000000000004BB55440000000402A393640"";""82.8327"";""22.2233"";""0"";""-30.2"";""3.505"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663565"";"""""
"1149692;""2018-07-20 18:05:50.855368+00"";""4"";""0101000020E6100000000000E0E7B65440000000E0AE153640"";""82.8579"";""22.0847"";""0"";""-61.9"";""3.279"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663566"";"""""
"1290904;""2018-08-20 12:03:53.575902+00"";""7"";""0101000020E610000000000020D9625540000000C05DBB3840"";""85.5445"";""24.7319"";""0"";""8.4"";""0.911"";""1"";""5"";""3"";""1"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""773735"";"""""
"1149694;""2018-07-20 18:05:52.995073+00"";""8"";""0101000020E6100000000000403CB95440000000C0983B3640"";""82.8943"";""22.2328"";""0"";""-53.2"";""3.156"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663568"";"""""
"1149695;""2018-07-20 18:05:53.407771+00"";""6"";""0101000020E61000000000008095FF544000000060C5EE3740"";""83.9935"";""23.9327"";""0"";""-31.3"";""2.463"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663569"";"""""
"1149696;""2018-07-20 18:05:53.471813+00"";""7"";""0101000020E61000000000006012FF5440000000A043EB3740"";""83.9855"";""23.919"";""0"";""-15.2"";""1.819"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663569"";"""""
"1149697;""2018-07-20 18:05:53.536531+00"";""7"";""0101000020E6100000000000E03FB8544000000060C53E3640"";""82.8789"";""22.2452"";""0"";""-55.9"";""2.828"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663570"";"""""
"1149698;""2018-07-20 18:05:54.01448+00"";""1"";""0101000020E6100000000000808EB4544000000060F0353640"";""82.8212"";""22.2107"";""0"";""-75.3"";""3.119"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663570"";"""""
"1149700;""2018-07-20 18:05:56.619392+00"";""5"";""0101000020E61000000000004070B6544000000040A63A3640"";""82.8506"";""22.2291"";""0"";""-55.9"";""3.245"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663571"";"""""
"1149701;""2018-07-20 18:05:56.735414+00"";""6"";""0101000020E6100000000000004BF15440000000C037083B40"";""83.7702"";""27.0321"";""0"";""-8.9"";""0.313"";""1"";""5"";""4"";""6"";""8"";""3"";""9"";""0"";""0"";""0"";""0"";""663572"";"""""
